source_path,destination_path,classification,reason
"Codex Image Jul 31, 2026, 05_47_17 PM.png",lifecycle/pre-hatch/30-character/egg/egg_base_chroma_reference.png,reference,绿色底纹理蛋体参考；待重做透明底正式素材
"Codex Image Jul 31, 2026, 05_47_25 PM.png",archived/nano_banana_drafts_20260729/pre_hatch_room_empty_white_nest_draft.png,archived,白色软垫旧版空房构图；由暖色软垫方向替代
"Codex Image Jul 31, 2026, 05_47_34 PM.png",archived/nano_banana_drafts_20260729/pre_hatch_room_with_egg_white_nest_draft.png,archived,白色软垫旧版蛋房合成稿
desk_with_egg.jpg,archived/v3.5_legacy_scene_composites/desk_with_egg.jpg,archived,V3.5 书桌场景历史蛋体合成图
desk_with_egg_koi.jpg,archived/v3.5_legacy_scene_composites/desk_with_egg_koi.jpg,archived,V3.5 书桌场景历史锦鲤合成图
Generated image 1.png,lifecycle/post-hatch/50-overlays/magic-window/magic_window_dali_with_jade_rabbit_back_placeholder.png,runtime-placeholder,大理魔法窗当前占位；仍含背面玉兔待替换
Generated image 1 (1).png,archived/nano_banana_drafts_20260729/pre_hatch_room_with_smooth_egg_orange_nest_draft.png,archived,光滑蛋旧版合成稿
Generated image 1 (2).png,lifecycle/pre-hatch/90-reference-composites/incubation_room_with_egg_day_reference.png,reference,暖色孵化房与纹理蛋构图参考
Generated image 1 (3).png,archived/nano_banana_drafts_20260729/egg_base_chroma_duplicate.png,archived,与 egg_base_chroma_reference.png 字节级重复
Generated image 1 (4).png,lifecycle/pre-hatch/10-background/incubation-room/incubation_room_empty_day_reference.png,reference,暖色孵化房空景参考
grass_with_egg.jpg,archived/v3.5_legacy_scene_composites/grass_with_egg.jpg,archived,V3.5 草地场景历史蛋体合成图
grass_with_egg_koi.jpg,archived/v3.5_legacy_scene_composites/grass_with_egg_koi.jpg,archived,V3.5 草地场景历史锦鲤合成图
rooftop_with_egg.jpg,archived/v3.5_legacy_scene_composites/rooftop_with_egg.jpg,archived,V3.5 屋顶场景历史蛋体合成图
rooftop_with_egg_koi.jpg,archived/v3.5_legacy_scene_composites/rooftop_with_egg_koi.jpg,archived,V3.5 屋顶场景历史锦鲤合成图
room_with_egg.jpg,archived/v3.5_legacy_scene_composites/room_with_egg.jpg,archived,V3.5 房间场景历史蛋体合成图
room_with_egg_koi.jpg,archived/v3.5_legacy_scene_composites/room_with_egg_koi.jpg,archived,V3.5 房间场景历史锦鲤合成图
sea_with_egg.jpg,archived/v3.5_legacy_scene_composites/sea_with_egg.jpg,archived,V3.5 海边场景历史蛋体合成图
sea_with_egg_koi.jpg,archived/v3.5_legacy_scene_composites/sea_with_egg_koi.jpg,archived,V3.5 海边场景历史锦鲤合成图
snow_with_egg.jpg,archived/v3.5_legacy_scene_composites/snow_with_egg.jpg,archived,V3.5 雪地场景历史蛋体合成图
snow_with_egg_koi.jpg,archived/v3.5_legacy_scene_composites/snow_with_egg_koi.jpg,archived,V3.5 雪地场景历史锦鲤合成图
图片生成-1785313536280.png,lifecycle/post-hatch/90-reference-composites/center-desk/post_hatch_center_desk_with_jade_rabbit_reference.png,reference,破壳后中屏正面玉兔构图参考
图片生成-1785318117443.png,archived/nano_banana_drafts_20260729/pre_hatch_room_with_egg_closeup_draft_01.png,archived,破壳前蛋体近景旧稿一
图片生成-1785318197636.png,archived/nano_banana_drafts_20260729/pre_hatch_room_with_egg_closeup_draft_02.png,archived,破壳前蛋体近景旧稿二；与旧稿一高度近似
图片生成-1785322154132.png,lifecycle/post-hatch/10-background/panorama-three-screen/post_hatch_room_panorama_empty_day_placeholder.webp,runtime-placeholder,破壳后三屏空间当前稳定占位底图
图片生成-1785322409401.png,lifecycle/post-hatch/90-reference-composites/left-living/post_hatch_left_living_with_jade_rabbit_reference.png,reference,破壳后左屏生活区构图参考
图片生成-1785322409401-combine.jpg,archived/nano_banana_drafts_20260729/post_hatch_three_screen_collage_draft.jpg,archived,带明显拼接缝的三屏草稿
